utt_id,technique,variant,singer_id,cos_to_source,shift_norm,shift_alignment
EN-Alto-1__breathy__technique__safe_and_sound__0002_v1,breathy,1,EN-Alto-1,0.6509392261505127,0.835536777973175,0.1298152655363083
EN-Alto-1__breathy__technique__safe_and_sound__0002_v2,breathy,2,EN-Alto-1,0.6144008636474609,0.878179132938385,0.15529996156692505
EN-Alto-1__breathy__technique__safe_and_sound__0003_v0,breathy,0,EN-Alto-1,0.7145146727561951,0.7556260824203491,0.07360022515058517
EN-Alto-1__breathy__technique__safe_and_sound__0003_v1,breathy,1,EN-Alto-1,0.6942310929298401,0.7820088863372803,0.06624925881624222
EN-Alto-1__breathy__technique__safe_and_sound__0003_v2,breathy,2,EN-Alto-1,0.6687265038490295,0.8139699697494507,0.056602753698825836
EN-Alto-1__breathy__technique__safe_and_sound__0004_v0,breathy,0,EN-Alto-1,0.7980329394340515,0.6355582475662231,0.12510208785533905
EN-Alto-1__breathy__technique__safe_and_sound__0004_v1,breathy,1,EN-Alto-1,0.7646600008010864,0.6860613822937012,0.11695777624845505
EN-Alto-1__breathy__technique__safe_and_sound__0004_v2,breathy,2,EN-Alto-1,0.7203966975212097,0.7478012442588806,0.10962609201669693
EN-Alto-1__breathy__technique__safe_and_sound__0005_v0,breathy,0,EN-Alto-1,0.776662290096283,0.6683380007743835,0.13999150693416595
EN-Alto-1__breathy__technique__safe_and_sound__0005_v1,breathy,1,EN-Alto-1,0.747977614402771,0.7099612951278687,0.133049875497818
EN-Alto-1__breathy__technique__safe_and_sound__0005_v2,breathy,2,EN-Alto-1,0.7155324220657349,0.7542781233787537,0.1190708801150322
EN-Alto-1__breathy__technique__safe_and_sound__0006_v0,breathy,0,EN-Alto-1,0.7320848703384399,0.7320043444633484,0.055908381938934326
EN-Alto-1__breathy__technique__safe_and_sound__0006_v1,breathy,1,EN-Alto-1,0.7088217735290527,0.7631229162216187,0.07689749449491501
EN-Alto-1__breathy__technique__safe_and_sound__0006_v2,breathy,2,EN-Alto-1,0.6763786673545837,0.8045139908790588,0.0805279016494751
EN-Alto-1__breathy__technique__safe_and_sound__0007_v0,breathy,0,EN-Alto-1,0.6733496189117432,0.808270275592804,-0.0012222171062603593
EN-Alto-1__breathy__technique__safe_and_sound__0007_v1,breathy,1,EN-Alto-1,0.6328798532485962,0.8568783402442932,0.05332284793257713
EN-Alto-1__breathy__technique__safe_and_sound__0007_v2,breathy,2,EN-Alto-1,0.6003822684288025,0.8939997553825378,0.12050212919712067
EN-Alto-1__breathy__technique__safe_and_sound__0008_v0,breathy,0,EN-Alto-1,0.7416913509368896,0.7187609672546387,0.021248379722237587
